instance_id,class_id,size,distribution,capacity_level,instance_seed,algorithm_seed,method,status,feasible,objective_value,runtime_seconds,time_to_best_seconds,open_sites,starts_attempted,starts_completed,successful_starts,failed_starts,starts_without_improvement,max_starts_without_improvement,repair_attempts,repair_successes,one_swap_moves,two_swap_moves,cache_hits,cache_misses,vnd_iterations,stagnation_stops,deadline_stops,stop_reason,objective_upper_bound,upper_bound_reached,optimality_certified_by_upper_bound,error
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,42,grasp_vnd,success,True,5.702523276294308,0.0384748999931616,0.0223132999963127,s12;s20;s27;s5;s7,21,21,21,0,20,20,1,1,16,4,634,42,41,1,0,stagnation,8.700539485292959,False,False,
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,123,grasp_vnd,success,True,5.702523276294308,0.0345817000052193,0.0196651000005658,s12;s20;s27;s5;s7,21,21,21,0,20,20,1,1,15,2,573,40,38,1,0,stagnation,8.700539485292959,False,False,
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,2026,grasp_vnd,success,True,5.702523276294308,0.0351385000103618,0.0201152000081492,s12;s20;s27;s5;s7,21,21,21,0,20,20,1,1,16,3,608,41,40,1,0,stagnation,8.700539485292959,False,False,
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,31415,grasp_vnd,success,True,5.702523276294308,0.0350319999997736,0.0203496000031009,s12;s20;s27;s5;s7,21,21,21,0,20,20,1,1,15,4,629,42,40,1,0,stagnation,8.700539485292959,False,False,
medium_uniform_tight_001,medium_uniform_tight,medium,uniform,tight,202607201,98765,grasp_vnd,success,True,5.702523276294308,0.0354937999945832,0.0204756999883102,s12;s20;s27;s5;s7,21,21,21,0,20,20,1,1,17,6,694,41,44,1,0,stagnation,8.700539485292959,False,False,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,42,grasp_vnd,success,True,8.126604896905528,0.0402515000023413,0.0233026000059908,s16;s21;s26;s27;s7,21,21,21,0,20,20,0,0,4,18,457,54,43,1,0,stagnation,9.908665889603368,False,False,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,123,grasp_vnd,success,True,8.126604896905528,0.0357371999998576,0.0204362999938894,s16;s21;s26;s27;s7,21,21,21,0,20,20,0,0,4,20,449,58,45,1,0,stagnation,9.908665889603368,False,False,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,2026,grasp_vnd,success,True,8.126604896905528,0.0349805000005289,0.0201131999929202,s16;s21;s26;s27;s7,21,21,21,0,20,20,1,1,9,14,267,62,44,1,0,stagnation,9.908665889603368,False,False,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,31415,grasp_vnd,success,True,8.126604896905528,0.036521600006381,0.0202841999998781,s16;s21;s26;s27;s7,21,21,21,0,20,20,1,1,9,17,364,63,47,1,0,stagnation,9.908665889603368,False,False,
medium_uniform_tight_002,medium_uniform_tight,medium,uniform,tight,202607202,98765,grasp_vnd,success,True,8.126604896905528,0.0360733999987132,0.0205660000065108,s16;s21;s26;s27;s7,21,21,21,0,20,20,1,1,9,19,367,62,49,1,0,stagnation,9.908665889603368,False,False,
